author name,identifier,country of citizenship,educated at,field of work,occupation,religion or worldview,sex or gender
,,,,,poet,,
Antonius Dulcken,Q59527108,,,,,,male
Jan van Blitterswyck,Q27995644,,,,monk,,male
Leonardus Lessius,Q1367280,Netherlands,Pontifical Gregorian University,theology,theologian,Catholic Church,male
,,,Sapienza University of Rome,,priest,,
,,,Universit¨¦ catholique de Louvain,,,,
,,,Old University of Leuven,,,,
Gisbertus Masius,Q94817440,,,,preacher,,male
Philippe de Caverel,Q15865800,,,,,,male
Carolus Scribani,Q39072817,,,,philosopher,,male
Cornelis Columbanus Vrancx,Q1936446,,Old University of Leuven,,poet,Catholic Church,male
,,,,,writer,,
,,,,,Catholic priest,,
Boetius ¨¤ Bolswert,Q2121061,Netherlands,,,copperplate engraver,,male
,,,,,publisher,,
,,,,,illustrator,,
,,,,,engraver,,
Joannes Bourgeois,Q115853610,,,,,,male
"Breyel, Sara",,,,,,,
"Rosweydus, Heribertus",,,,,,,
Caesar Baronius,Q317900,,,,librarian,Catholic Church,male
,,,,,church historian,,
,,,,,historian,,
,,,,,writer,,
,,,,,Catholic priest,,
,,,,,Catholic deacon,,
"Rosweydus, Heribertus",,,,,,,
Henri Spondanus,Q493670,France,,,Catholic priest,Catholic Church,male
,,,,,historian,,
,,,,,jurist,,
"Baius, Jacobus",,,,,,,
Mathias Hovius,Q2506641,,Old University of Leuven,,prelate,Catholic Church,male
"Blasaeus, Jacobus",,,,,,,
Franciscus Lucas Brugensis,Q86613888,,Old University of Leuven,,biblical scholar,Catholicism,male
"Bouchier, Gilles",,,,,,,
Jean Chapeauville,Q6170396,,University of Cologne,,historian,Catholic Church,male
"de la Roche, Gaspar",,,,,,,
"d'Oneuz, Gilles",,,,,,,
"Hustin, Sebastien",,,,,,,
"Lampson, Nicolas",,,,,,,
"Raymund, Daniel",,,,,,,
"von Bayern, Ferdinand",,,,,,,
"Bonfrerius, Jacobus",,,,,,,
"Desmaretz, Josse",,,,,,,
"de Meere, Joannes",,,,,,,
Diego de Covarubias y Leyva,Q1220593,Spain,University of Salamanca,,Latin Catholic priest,Catholic Church,male
,,,,,university teacher,,
,,,,,economist,,
,,,,,jurist,,
Pieter Cornelis van Brederode,Q41567100,,,,jurist,,male
Johann van Uffels,Q55133958,,University of Douai,,jurist,,male
,,,,,jurist-consultant,,
"Major, Joannes",,,,,,,
Cornelius a Lapide,Q1134021,County of Flanders,University of Douai,,priest,Catholicism,male
,,,,,university teacher,,
,,,,,writer,,
,,,,,theologian,,
"de Soto, Andreas",,,,,,,
"Farcinius, Jacobus",,,,,,,
Pieter Serwouters,Q19569743,Belgium,,,painter,,male
,,,,,printmaker,,
,,,,,copperplate engraver,,
Henricus Sommalius,Q1606112,Germany,,,Catholic priest,Catholicism,male
Franciscus Lucas Brugensis,Q86613888,,Old University of Leuven,,biblical scholar,Catholicism,male
"Blasaeus, Jacobus",,,,,,,
"Junius, Balduinus",,,,,,,
Anton Sander,Q2131492,Spanish Netherlands,University of Douai,,historian,Catholicism,male
,,,Old University of Leuven,,priest,,
,,,,,graphic artist,,
,,,,,engraver,,
"Damman, Nicolaus",,,,,,,
"De Blasere, Ludovicus",,,,,,,
"De Norman, Jacobus",,,,,,,
"De Stoppelaer, Joannes",,,,,,,
"De Vuldere, Judocus",,,,,,,
Anton Sander,Q2131492,Spanish Netherlands,University of Douai,,historian,Catholicism,male
,,,Old University of Leuven,,priest,,
,,,,,graphic artist,,
,,,,,engraver,,
"Triest, Judocus",,,,,,,
"Vanden Heede, Antonius",,,,,,,
"Vander Meere, Aegidius",,,,,,,
"Wyfs, Cornelius",,,,,,,
Robert Bellarmine,Q298664,,Pontifical Gregorian University,administration and management of the church,writer,Catholic Church,male
,,,University of Padua,theology,librarian,,
,,,Old University of Leuven,Counter-Reformation,university teacher,,
,,,,philology,Latin Catholic priest,,
,,,,study of the Hebrew language,theologian,,
,,,,,regular clergyman,,
,,,,,priest,,
,,,,,philologist,,
,,,,,Hebraist,,
"Sforza, Francesco",,,,,,,
"Colibrant, Rumoldus",,,,,,,
"Cornaro, Luigi",,,,,,,
"Hugo, Herman",,,,,,,
Leonardus Lessius,Q1367280,Netherlands,Pontifical Gregorian University,theology,theologian,Catholic Church,male
,,,Sapienza University of Rome,,priest,,
,,,Universit¨¦ catholique de Louvain,,,,
,,,Old University of Leuven,,,,
Franciscus Sassenus,Q112491913,,,medicine,physician,,male
,,,,,professor,,
,,,,,censor,,
,,,,,university teacher,,
"van Gorcum, Jan",,,,,,,
"Cajetanus, Thomas de Vio",,,,,,,
