author name,identifier,country of citizenship,educated at,field of work,occupation,religion or worldview,sex or gender
"Lipsius, Justus",,,,,,,
"Molina, Ludovicus",,,,,,,
Carolus Scribani,Q39072817,,,,philosopher,,male
Henricus Sommalius,Q1606112,Germany,,,Catholic priest,Catholicism,male
Crist¨®bal S¨¢nchez de Madrid,Q106601469,Crown of Castile,,,Latin Catholic priest,,male
"Polancus, Joannes",,,,,,,
"Van der Borcht, Pieter",,,,,,,
"Van Leest, Antoon",,,,,,,
John de Pineda,Q6265613,Spain,,,biblical scholar,Catholic Church,male
Fernando Martins de Mascarenhas,Q10281435,Portugal,University of ¨¦vora,,university teacher,Catholic Church,male
,,,University of Coimbra,,,,
Claudio Acquaviva,Q681779,Spain,,,Catholic priest,Catholic Church,male
"de Angelis, Bernardus",,,,,,,
"La¨ªnez, Diego",,,,,,,
Everard Mercurian,Q745208,,,,theologian,Catholic Church,male
,,,,,Catholic priest,,
Mutio Vitelleschi,Q705094,,,,theologian,Catholic Church,male
"Calvin, Jean",,,,,,,
"de Hennin, Antonius",,,,,,,
"de Visschere, Joannes",,,,,,,
"Oonselius, Guilelmus",,,,,,,
Rumoldus Batavus,,,,,,,
Paolino Berti,Q88526755,,,,prior,,male
Johannes Soteallus,Q104602502,,,,theologian,,male
Johannes Soteallus,Q104602502,,,,theologian,,male
Orazio Luzi,Q3884918,,University of Bologna,,jurist,,male
Caesar Baronius,Q317900,,,,librarian,Catholic Church,male
,,,,,church historian,,
,,,,,historian,,
,,,,,writer,,
,,,,,Catholic priest,,
,,,,,Catholic deacon,,
"Casaubon, Isaac",,,,,,,
"De Graet, Guillielmus",,,,,,,
"Rosweydus, Heribertus",,,,,,,
"Zoes, Nicolaus",,,,,,,
"van Gorcum, Jan",,,,,,,
"David, Jan",,,,,,,
Theodoor Galle,Q178329,Southern Netherlands,,engraving process,engraver,,male
,,,,,printmaker,,
Leopoldus von Oesterreich,,,,,,,
Claudio Acquaviva,Q681779,Spain,,,Catholic priest,Catholic Church,male
"La¨ªnez, Diego",,,,,,,
Everard Mercurian,Q745208,,,,theologian,Catholic Church,male
,,,,,Catholic priest,,
Erycius Puteanus,Q2791618,Spanish Netherlands,,,linguist,,male
,,Netherlands,,,university teacher,,
,,,,,writer,,
Joseph Marie de Suar¨¨s,Q3185313,France,,,historian,Catholic Church,male
,,,,,librarian,,
"Maes, Margareta",,,,,,,
Lodewijk Makeblyde,Q1896420,Netherlands,University of Douai,,Catholic priest,Catholic Church,male
,,,,,writer,,
Theodoor Galle,Q178329,Southern Netherlands,,engraving process,engraver,,male
,,,,,printmaker,,
Leonardus Lessius,Q1367280,Netherlands,Pontifical Gregorian University,theology,theologian,Catholic Church,male
,,,Sapienza University of Rome,,priest,,
,,,Universit¨¦ catholique de Louvain,,,,
,,,Old University of Leuven,,,,
Gisbertus Masius,Q94817440,,,,preacher,,male
Thomas Sailly,Q67035840,,Old University of Leuven,,historian,,male
,,,,,writer,,
"zu dem Berch, Elisabeth",,,,,,,
Nicolaus Vernulaeus,Q2679753,,University of Cologne,,playwright,,male
,,,,,university teacher,,
Crist¨®bal S¨¢nchez de Madrid,Q106601469,Crown of Castile,,,Latin Catholic priest,,male
"Polancus, Joannes",,,,,,,
"a Gorcum, Johannes",,,,,,,
Diego ¨¢lvarez de Paz,Q3707271,Spain,National University of San Marcos,,Catholic priest,Catholicism,male
"Stalpaerts, Adriaan",,,,,,,
"Verdussen, Hieronymus",,,,,,,
Diego ¨¢lvarez de Paz,Q3707271,Spain,National University of San Marcos,,Catholic priest,Catholicism,male
"Stalpaerts, Adriaan",,,,,,,
"Buchaerus, Johannes",,,,,,,
Pierre Maillart,Q19999615,,,,kapellmeister,,male
,,,,,musicologist,,
"De Costere, Johannes",,,,,,,
Franciscus De La Croix,Q115825921,,,,,,male
Claudio Acquaviva,Q681779,Spain,,,Catholic priest,Catholic Church,male
"Avila, Alonso de",,,,,,,
Ludovic Nunez,Q2412518,,,viticulture,physician writer,,male
"Barberini, Francesco",,,,,,,
"Cabilliau, Balduinus",,,,,,,
"Calentijn, Pieter",,,,,,,
Peter Canisius,Q44624,Spanish Netherlands,University of Cologne,,university teacher,Catholic Church,male
,,,,,Catholic priest,,
,,,,,theologian,,
,,,,,regular clergyman,,
"Farcinius, Jacobus",,,,,,,
Hentenius,Q15453291,,,,biblical scholar,,male
Lodewijk Makeblyde,Q1896420,Netherlands,University of Douai,,Catholic priest,Catholic Church,male
,,,,,writer,,
"de Acosta, Jos¨¦",,,,,,,
Jan Huyghen van Linschoten,Q941383,Dutch Republic,,,writer,,male
,,,,,historian,,
,,,,,merchant,,
,,,,,seafarer,,
,,,,,cartographer,,
"Darcaeus, Petrus",,,,,,,
"de Mera, Carolus",,,,,,,
"Rockox, Nicolaas",,,,,,,
"Waddingus, Petrus",,,,,,,
"de Barnaige, Chrestienne",,,,,,,
Fran?ois de Joyeuse,Q542804,France,University of Paris,,Catholic priest,Catholic Church,male
"Numan, Philippe",,,,,,,
"de Formanoir, Nicolaus",,,,,,,
"Mohy, Remacle",,,,,,,
"Huyn van Amstenraet, Edmundus",,,,,,,
Scipione Cobelluzzi,Q1239087,,Sapienza University of Rome,,librarian,Catholic Church,male
,,,,,archivist,,
,,,,,Catholic priest,,
Pierre Pantin,Q66619278,,,,hellenist,,male
,,,,,writer,,
,,,,,translator,,
"Schott, Andr¨¦",,,,,,,
"van Etten, Christophorus",,,,,,,
Adriana de petit Cambray,,,,,,,
"David, Jan",,,,,,,
Lodewijk van Berlaymont,Q3160997,France,,,prelate,Catholicism,male
"Bonomi, Giovanni Francesco",,,,,,,
Maximillian de Berghes,Q22248120,Spanish Netherlands,,,Catholic priest,Catholic Church,male
Henricus Sedulius,Q21546722,,,,theologian,,male
"Beissel, Judocus",,,,,,,
Johannes Trithemius,Q60178,Holy Roman Empire,Heidelberg University,,cryptographer,Catholic Church,male
,,,,,mathematician,,
,,,,,writer,,
,,,,,astrologer,,
,,,,,bibliographer,,
,,,,,magician,,
"Spoelbergh, Guilielmus",,,,,,,
"Spoelbergh, Petrus",,,,,,,
Aodh Mac Cathmhaoil,Q3620537,Republic of Ireland,University of Salamanca,,poet,Catholic Church,male
,,,,,Catholic priest,,
,,,,,university teacher,,
Duns Scotus,Q190089,Kingdom of Scotland,Merton College,philosophy,philosopher,Catholic Church,male
,,,University of Oxford,theology,theologian,Catholicism,
,,,,education,university teacher,,
,,,,scientific writing,writer,,
,,,,Christian ministry,Catholic clergyman,,
,,,,preaching,father,,
,,,,scholasticism,lecturer,,
,,,,logic,regular clergyman,,
,,,,,Roman Catholic clergyman,,
,,,,,pastor,,
,,,,,preacher,,
"Bonau, F",,,,,,,
"Boucher, Jean",,,,,,,
"de Longueval, Marie",,,,,,,
"du Plessis, Sr",,,,,,,
"Grandhomme, Jacques",,,,,,,
Michael Ophovius,Q2117344,,,,Catholic priest,Catholic Church,male
"Galle, Cornelius$ $ $bI",,,,,,,
"Heynsius, Andreas",,,,,,,
"Numan, Philippus",,,,,,,
"Numan, Philippe",,,,,,,
"Numan, Philippus",,,,,,,
"Numan, Philippus",,,,,,,
"Numan, Philippus",,,,,,,
"de Soto, Andreas",,,,,,,
"Numan, Philippus",,,,,,,
"Gabutius, Joannes",,,,,,,
Henricus Adriani,Q96865143,,Old University of Leuven,,theologian,,male
,,,,,religious,,
"Collaert, Jan$ $ $bII",,,,,,,
"de Vos, Maarten",,,,,,,
Laurentius Surius,Q121850,Germany,,philosophy,hagiographer,Catholic Church,male
,,,,,historian,,
,,,,,philosopher,,
,,,,,writer,,
,,,,,monk,,
"Schonaeus, Petrus",,,,,,,
"de Petter, Hieronymus",,,,,,,
"Fern¨¢ndez de C¨®rdoba, Gonzalo",,,,,,,
"Ambrogio Spinola, 1st Marquis of the Balbases",Q359936,Spain,,,military officer,,male
,,,,,military personnel,,
,,,,,soldier,,
"von Braunschweig-Wolfenb¨¹ttel, Christian",,,,,,,
"'t Serclaes, Johan$ $ $bcount of Tilly",,,,,,,
Peter Canisius,Q44624,Spanish Netherlands,University of Cologne,,university teacher,Catholic Church,male
,,,,,Catholic priest,,
,,,,,theologian,,
,,,,,regular clergyman,,
Mariano Vittori,Q30234205,,,,theologian,Catholic Church,male
"Genis, Francisco",,,,,,,
Johannes Tauler,Q60281,Free Imperial City of Strasbourg,,,writer,Catholic Church,male
"Mollanus, Jacobus Buyens",,,,,,,
Antonius van Hemert,Q55122686,,,,priest,,male
,,,,,writer,,
Johannes van den Driesche,Q2243667,Dutch Republic,University of Cambridge,,theologian,Protestantism,male
,,,University of Oxford,,historian,,
,,,Leiden University,,university teacher,,
,,,Old University of Leuven,,,,
Libert Froidmont,Q549426,Prince-Bishopric of Li¨¨ge,,,mathematician,Catholicism,male
,,,,,astronomer,,
,,,,,philosopher,,
,,,,,university teacher,,
,,,,,theologian,,
Erycius Puteanus,Q2791618,Spanish Netherlands,,,linguist,,male
,,Netherlands,,,university teacher,,
,,,,,writer,,
"Gonzaga, Carlo$ $ $bI",,,,,,,
Lodovico Melzo,Q55874737,Spain,,,,,male
"Varroy, Paul",,,,,,,
Mathias Hovius,Q2506641,,Old University of Leuven,,prelate,Catholic Church,male
"Castellanus, Petrus",,,,,,,
"Aldobrandini, Pietro",,,,,,,
Robert Bellarmine,Q298664,,Pontifical Gregorian University,administration and management of the church,writer,Catholic Church,male
,,,University of Padua,theology,librarian,,
,,,Old University of Leuven,Counter-Reformation,university teacher,,
,,,,philology,Latin Catholic priest,,
,,,,study of the Hebrew language,theologian,,
,,,,,regular clergyman,,
,,,,,priest,,
,,,,,philologist,,
,,,,,Hebraist,,
Antonius Triest,Q2149954,,Old University of Leuven,,Catholic priest,Catholic Church,male
Nicolaas van Buren,Q106705012,,,,,,male
Nicolaas van Buren,Q106705012,,,,,,male
Pedro de Ribadeneira,Q1307637,Spain,University of Paris,,hagiographer,Catholicism,male
,,,University of Padua,,historian,,
,,,Old University of Leuven,,writer,,
"David, Jan",,,,,,,
Michel Coyssard,Q93491052,France,,rhetoric,translator,,male
,,,,,theologian,,
Lu¨ªs Cerqueira,Q10321362,,,,Catholic priest,Catholic Church,male
Lodewijk Makeblyde,Q1896420,Netherlands,University of Douai,,Catholic priest,Catholic Church,male
,,,,,writer,,
"Balsamo, Ignazio",,,,,,,
Th¨¦ophile Bernardin,Q110215435,,,,,,
"du Joncquoy, Joannes",,,,,,,
Francis Coster,Q2133452,,,theology,writer,Catholicism,male
,,,,,priest,,
,,,,,theologian,,
Francis Coster,Q2133452,,,theology,writer,Catholicism,male
,,,,,priest,,
,,,,,theologian,,
"vanden Berge, Godevaert",,,,,,,
Francis Coster,Q2133452,,,theology,writer,Catholicism,male
,,,,,priest,,
,,,,,theologian,,
Francis Coster,Q2133452,,,theology,writer,Catholicism,male
,,,,,priest,,
,,,,,theologian,,
"Kok, P.P",,,,,,,
"Crombecius, Johannes",,,,,,,
"Loemelio, Guillaume",,,,,,,
Lodewijk Makeblyde,Q1896420,Netherlands,University of Douai,,Catholic priest,Catholic Church,male
,,,,,writer,,
"Montanus, Guilielmus",,,,,,,
"Zoes, Gerardus",,,,,,,
"Susius, Nicolaus",,,,,,,
Carolus Scribani,Q39072817,,,,philosopher,,male
"David, Jan",,,,,,,
Mathias Hovius,Q2506641,,Old University of Leuven,,prelate,Catholic Church,male
Lodewijk Makeblyde,Q1896420,Netherlands,University of Douai,,Catholic priest,Catholic Church,male
,,,,,writer,,
"David, Jan",,,,,,,
Bernardus Bauhusius,Q5305148,,,,composer,Catholicism,male
,,,,,writer,,
,,,,,priest,,
"de Winghe, Antonius",,,,,,,
"Mangotius, Adrianus",,,,,,,
"David, Jan",,,,,,,
"Lipsius, Justus",,,,,,,
"Lipsius, Justus",,,,,,,
"Sarrazin, Jean",,,,,,,
"Lipsius, Justus",,,,,,,
"Lipsius, Justus",,,,,,,
"Plinius Caecilius Secundus, Gaius",,,,,,,
"Lipsius, Justus",,,,,,,
"Lipsius, Justus",,,,,,,
"Lipsius, Justus",,,,,,,
"de Croy, Charles",,,,,,,
"Lipsius, Justus",,,,,,,
"Lipsius, Justus",,,,,,,
Mathias Hovius,Q2506641,,Old University of Leuven,,prelate,Catholic Church,male
"van Haecht Goidtsenhoven, Laurens",,,,,,,
"Ximenez Pereta, Eduardus",,,,,,,
"Bochius, Johannes",,,,,,,
"d'Oultremannus, Henricus",,,,,,,
"Vrientius, Maximus Aemylianus",,,,,,,
Hendrik Herp,Q473002,,Old University of Leuven,,writer,,male
,,,,,theologian,,
"Busch, Johannes",,,,,,,
"a Kempis, Joannes",,,,,,,
"Rosweydus, Heribertus",,,,,,,
Hieronymus Wierix,Q2778104,Southern Netherlands,,,copperplate engraver,,male
,,,,,engraver,,
,,,,,graphic artist,,
,,,,,drawer,,
"Bolswert, Boetius Adamz",,,,,,,
Joannes Bourgeois,Q115853610,,,,,,male
"de Winghe, Antonius",,,,,,,
"Fabricius, Andreas",,,,,,,
"De Pretere, Guilielmus",,,,,,,
"Culens, Henricus",,,,,,,
Petrus Castellanus,Q21545335,,University of Douai,,philologist,,male
,,,,,physician,,
,,,,,university teacher,,
,,,,,hellenist,,
"Culens, Henricus",,,,,,,
Anton Sander,Q2131492,Spanish Netherlands,University of Douai,,historian,Catholicism,male
,,,Old University of Leuven,,priest,,
,,,,,graphic artist,,
,,,,,engraver,,
"van Schayck, Joachim Arsenius",,,,,,,
"a Maldeghem, Adolphus",,,,,,,
"Pardo, Jacobus",,,,,,,
Anton Sander,Q2131492,Spanish Netherlands,University of Douai,,historian,Catholicism,male
,,,Old University of Leuven,,priest,,
,,,,,graphic artist,,
,,,,,engraver,,
"Blasaeus, Jacobus",,,,,,,
Franciscus Lucas Brugensis,Q86613888,,Old University of Leuven,,biblical scholar,Catholicism,male
Jacobus Cornelius Lummenaeus ¨¤ Marca,Q112481178,,,,poet,,
,,,,,historian,,
"Gommes, Manoel",,,,,,,
Jean-Jacques Chifflet,Q3166217,County of Burgundy,,,physician,,male
,,,,,archaeologist,,
"Galle, Cornelius$ $ $bI",,,,,,,
Aubert Miraeus,Q2870578,,University of Douai,,historian,Catholic Church,male
,,,Old University of Leuven,,librarian,,
,,,,,theologian,,
"De Bournonville, Alexandre",,,,,,,
Aubert Miraeus,Q2870578,,University of Douai,,historian,Catholic Church,male
,,,Old University of Leuven,,librarian,,
,,,,,theologian,,
Erycius Puteanus,Q2791618,Spanish Netherlands,,,linguist,,male
,,Netherlands,,,university teacher,,
,,,,,writer,,
Valerius Andreas,Q770810,Southern Netherlands,University of Douai,,historian,,male
,,,,,legal counsel,,
,,,,,philologist,,
Petrus Gudelinus,Q3385279,,Old University of Leuven,,writer,,male
,,,,,jurist,,
"David, Jan",,,,,,,
Theodoor Galle,Q178329,Southern Netherlands,,engraving process,engraver,,male
,,,,,printmaker,,
"Andries, Antonius",,,,,,,
Adrianus Cancellier,Q1917672,Dutch Republic,,,politician,,male
Cris¨®stomo Henr¨ªquez,Q1088890,Spain,,,historian,Catholic Church,male
,,,,,writer,,
,,,,,hagiographer,,
,,,,,Latin Catholic priest,,
"Basa, Dominicus",,,,,,,
Joannes Diaconus Hymonides,,,,,,,
"Ridolfi, Petrus",,,,,,,
Angelo Rocca,Q3617199,,University of Padua,humanism,Renaissance humanist,Catholic Church,male
,,,University of Perugia,administration and management of the church,librarian,,
,,,,historiography,religious servant,,
,,,,,Catholic priest,,
,,,,,historian,,
Caesar Baronius,Q317900,,,,librarian,Catholic Church,male
,,,,,church historian,,
,,,,,historian,,
,,,,,writer,,
,,,,,Catholic priest,,
,,,,,Catholic deacon,,
Robert Bellarmine,Q298664,,Pontifical Gregorian University,administration and management of the church,writer,Catholic Church,male
,,,University of Padua,theology,librarian,,
,,,Old University of Leuven,Counter-Reformation,university teacher,,
,,,,philology,Latin Catholic priest,,
,,,,study of the Hebrew language,theologian,,
,,,,,regular clergyman,,
,,,,,priest,,
,,,,,philologist,,
,,,,,Hebraist,,
Joannes Collaert,Q115842396,,,,bisschoppelijk secretaris,,male
Dionysius Mutsaerts,Q3046733,,University of Douai,,writer,,male
"Rubens, Peter Paul",,,,,,,
Jacques Salian,Q52149147,France,,,church historian,,male
Henri Spondanus,Q493670,France,,,Catholic priest,Catholic Church,male
,,,,,historian,,
,,,,,jurist,,
Orazio Torsellino,Q1776231,,,,writer,Catholicism,male
,,,,,historian,,
Erycius Puteanus,Q2791618,Spanish Netherlands,,,linguist,,male
,,Netherlands,,,university teacher,,
,,,,,writer,,
Laurent Landtmeter,Q112191066,France,,,theologian,,male
"Stalpaerts, Adriaan",,,,,,,
Augustinus Wichmans,Q2119468,,Old University of Leuven,,politician,,male
Johannes Malderus,Q2690643,,Old University of Leuven,,Catholic priest,Catholic Church,male
,,,University of Douai,,university teacher,,
Johannes Malderus,Q2690643,,Old University of Leuven,,Catholic priest,Catholic Church,male
,,,University of Douai,,university teacher,,
Erycius Puteanus,Q2791618,Spanish Netherlands,,,linguist,,male
,,Netherlands,,,university teacher,,
,,,,,writer,,
Erycius Puteanus,Q2791618,Spanish Netherlands,,,linguist,,male
,,Netherlands,,,university teacher,,
,,,,,writer,,
Nicolaus Vernulaeus,Q2679753,,University of Cologne,,playwright,,male
,,,,,university teacher,,
Leonardus Lessius,Q1367280,Netherlands,Pontifical Gregorian University,theology,theologian,Catholic Church,male
,,,Sapienza University of Rome,,priest,,
,,,Universit¨¦ catholique de Louvain,,,,
,,,Old University of Leuven,,,,
"Stalpaert, Hadrianus",,,,,,,
Aubert Miraeus,Q2870578,,University of Douai,,historian,Catholic Church,male
,,,Old University of Leuven,,librarian,,
,,,,,theologian,,
Aubert Miraeus,Q2870578,,University of Douai,,historian,Catholic Church,male
,,,Old University of Leuven,,librarian,,
,,,,,theologian,,
"Lipsius, Justus",,,,,,,
Nicolaus Vernulaeus,Q2679753,,University of Cologne,,playwright,,male
,,,,,university teacher,,
"Baius, Jacobus",,,,,,,
Mathias Hovius,Q2506641,,Old University of Leuven,,prelate,Catholic Church,male
Lawrence Beyerlinck,Q3828133,,Old University of Leuven,,writer,Catholic Church,male
,,,Universit¨¦ catholique de Louvain,,theologian,,
Pieter van Opmeer,Q23835799,Kingdom of the Netherlands,,,theologian,Catholicism,male
,,,,,author,,
Aubert Miraeus,Q2870578,,University of Douai,,historian,Catholic Church,male
,,,Old University of Leuven,,librarian,,
,,,,,theologian,,
"de Rye, Fran?ois$ $ $bIII",,,,,,,
Robert Bellarmine,Q298664,,Pontifical Gregorian University,administration and management of the church,writer,Catholic Church,male
,,,University of Padua,theology,librarian,,
,,,Old University of Leuven,Counter-Reformation,university teacher,,
,,,,philology,Latin Catholic priest,,
,,,,study of the Hebrew language,theologian,,
,,,,,regular clergyman,,
,,,,,priest,,
,,,,,philologist,,
,,,,,Hebraist,,
"Junius, Balduinus",,,,,,,
Mathias Hovius,Q2506641,,Old University of Leuven,,prelate,Catholic Church,male
Nicolaus Janssenius,Q55913849,,,,,,male
Gillis van Schoor,Q95817083,,,,printmaker,,male
"del Rio, Martin Anton",,,,,,,
Joseph Justus Scaliger,Q315163,France,College of Guienne,chronology,historian,Calvinism,male
,,Netherlands,University of Paris,philology,writer,,
,,,Coll¨¨ge de France,history,archaeologist,,
,,,,poetics,professor,,
,,,,mathematics,translator,,
,,,,astronomy,university teacher,,
,,,,theology,classical scholar,,
,,,,,poet,,
,,,,,numismatist,,
,,,,,philologist,,
"Gillotius, Joannes",,,,,,,
"Picardus, Johannes",,,,,,,
"Tiraquellus, Edmundus",,,,,,,
Joannes Hauchin,Q2123666,,Old University of Leuven,,Catholic priest,Catholic Church,male
,,,University of Douai,,,,
,,,University of Dole,,,,
Mathias Hovius,Q2506641,,Old University of Leuven,,prelate,Catholic Church,male
Aubert Miraeus,Q2870578,,University of Douai,,historian,Catholic Church,male
,,,Old University of Leuven,,librarian,,
,,,,,theologian,,
Aubert Miraeus,Q2870578,,University of Douai,,historian,Catholic Church,male
,,,Old University of Leuven,,librarian,,
,,,,,theologian,,
Aubert Miraeus,Q2870578,,University of Douai,,historian,Catholic Church,male
,,,Old University of Leuven,,librarian,,
,,,,,theologian,,
"Van Eynatten, Louis",,,,,,,
Aubert Miraeus,Q2870578,,University of Douai,,historian,Catholic Church,male
,,,Old University of Leuven,,librarian,,
,,,,,theologian,,
Aubert Miraeus,Q2870578,,University of Douai,,historian,Catholic Church,male
,,,Old University of Leuven,,librarian,,
,,,,,theologian,,
Lawrence Beyerlinck,Q3828133,,Old University of Leuven,,writer,Catholic Church,male
,,,Universit¨¦ catholique de Louvain,,theologian,,
Lawrence Beyerlinck,Q3828133,,Old University of Leuven,,writer,Catholic Church,male
,,,Universit¨¦ catholique de Louvain,,theologian,,
Jean-Jacques Chifflet,Q3166217,County of Burgundy,,,physician,,male
,,,,,archaeologist,,
Jean-Jacques Chifflet,Q3166217,County of Burgundy,,,physician,,male
,,,,,archaeologist,,
"Rycquius, Justus",,,,,,,
Antonius Triest,Q2149954,,Old University of Leuven,,Catholic priest,Catholic Church,male
Anton Sander,Q2131492,Spanish Netherlands,University of Douai,,historian,Catholicism,male
,,,Old University of Leuven,,priest,,
,,,,,graphic artist,,
,,,,,engraver,,
"Spinola, Ambrogio",,,,,,,
"Castellanus, Petrus",,,,,,,
Nicolaus Vernulaeus,Q2679753,,University of Cologne,,playwright,,male
,,,,,university teacher,,
Lawrence Beyerlinck,Q3828133,,Old University of Leuven,,writer,Catholic Church,male
,,,Universit¨¦ catholique de Louvain,,theologian,,
"Rycquius, Justus",,,,,,,
Lawrence Beyerlinck,Q3828133,,Old University of Leuven,,writer,Catholic Church,male
,,,Universit¨¦ catholique de Louvain,,theologian,,
Mathias Hovius,Q2506641,,Old University of Leuven,,prelate,Catholic Church,male
Aubert Miraeus,Q2870578,,University of Douai,,historian,Catholic Church,male
,,,Old University of Leuven,,librarian,,
,,,,,theologian,,
Aubert Miraeus,Q2870578,,University of Douai,,historian,Catholic Church,male
,,,Old University of Leuven,,librarian,,
,,,,,theologian,,
Athanasios of Alexandria,Q44024,Ancient Rome,Catechetical School of Alexandria,,Eastern Orthodox priest,Eastern Orthodox Church,male
,,,,,hagiographer,,
,,,,,theologian,,
,,,,,writer,,
,,,,,Catholic deacon,,
Andr¨¦ des Freux,Q18736564,France,,,priest,Catholicism,male
,,,,,theologian,,
,,,,,translator,,
"Remondus, Franciscus",,,,,,,
Alfonso Salmeron,Q1383735,Spain,University of Paris,,theologian,Catholicism,male
,,,University of Bologna,,Catholic priest,,
,,,Complutense University,,,,
"Stephonius, Bernardinus",,,,,,,
Abraham van der Mijl,Q55875204,,,,,,male
"Stickius, Christophorus",,,,,,,
Bonaventura Vulcanius,Q892143,Netherlands,Old University of Leuven,,university teacher,,male
,,,,,translator,,
,,,,,lexicographer,,
,,,,,secretary,,
Daniel Heinsius,Q918731,Netherlands,Leiden University,,poet,,male
,,Sweden,,,librarian,,
,,,,,university teacher,,
,,,,,classical scholar,,
,,,,,philologist,,
,,,,,playwright,,
,,,,,translator,,
,,,,,publisher,,
Petrus Scriverius,Q2063138,Netherlands,,,poet,,male
,,,,,writer,,
,,,,,historian,,
Petrus Hondius,Q63164245,Dutch Republic,,,poet,,male
Fran?ois Buisseret,Q3084126,Spanish Netherlands,University of Bologna,,Catholic priest,Catholic Church,male
,,,,,university teacher,,
Jean-Baptiste Gramaye,Q1922212,Seventeen Provinces,Old University of Leuven,,historian,Catholicism,male
,,,,,university teacher,,
,,,,,diplomat,,
,,,,,cleric,,
"Lipsius, Justus",,,,,,,
"de Cro?, Charles",,,,,,,
"vander Baren, Jodocus",,,,,,,
Aubert Miraeus,Q2870578,,University of Douai,,historian,Catholic Church,male
,,,Old University of Leuven,,librarian,,
,,,,,theologian,,
Petrus Peckius the Elder,Q7179220,Netherlands,Old University of Leuven,,jurist,,male
,,,,,university teacher,,
,,,,,professor,,
Jean de Lorini,Q97064323,,,,theologian,,male
,,,,,Catholic theologian,,
"Bonfrerius, Jacobus",,,,,,,
"Bovillius, Petrus",,,,,,,
Leonardus Lessius,Q1367280,Netherlands,Pontifical Gregorian University,theology,theologian,Catholic Church,male
,,,Sapienza University of Rome,,priest,,
,,,Universit¨¦ catholique de Louvain,,,,
,,,Old University of Leuven,,,,
Leonardus Lessius,Q1367280,Netherlands,Pontifical Gregorian University,theology,theologian,Catholic Church,male
,,,Sapienza University of Rome,,priest,,
,,,Universit¨¦ catholique de Louvain,,,,
,,,Old University of Leuven,,,,
"Lipsius, Justus",,,,,,,
"Bonfrerius, Jacobus",,,,,,,
"Bouille, Pierre",,,,,,,
Leonardus Lessius,Q1367280,Netherlands,Pontifical Gregorian University,theology,theologian,Catholic Church,male
,,,Sapienza University of Rome,,priest,,
,,,Universit¨¦ catholique de Louvain,,,,
,,,Old University of Leuven,,,,
"Bonfrerius, Jacobus",,,,,,,
"Bouille, Pierre",,,,,,,
"Bonfrerius, Jacobus",,,,,,,
"Bovillius, Petrus",,,,,,,
"Galle, Cornelius$ $ $bI",,,,,,,
Leonardus Lessius,Q1367280,Netherlands,Pontifical Gregorian University,theology,theologian,Catholic Church,male
,,,Sapienza University of Rome,,priest,,
,,,Universit¨¦ catholique de Louvain,,,,
,,,Old University of Leuven,,,,
"Lipsius, Justus",,,,,,,
"Rubens, Peter Paul",,,,,,,
"Galle, Cornelius$ $ $bI",,,,,,,
Leonardus Lessius,Q1367280,Netherlands,Pontifical Gregorian University,theology,theologian,Catholic Church,male
,,,Sapienza University of Rome,,priest,,
,,,Universit¨¦ catholique de Louvain,,,,
,,,Old University of Leuven,,,,
"Rubens, Peter Paul",,,,,,,
Cajetanus de Thenis,,,,,,,
"La¨ªnez, Diego",,,,,,,
Niccol¨° Orlandini,Q7024607,,Pontifical Gregorian University,history,historian,,male
Francesco Sacchini,Q21656911,,,,historian,Catholicism,male
,,,,,theologian,,
"La¨ªnez, Diego",,,,,,,
Francesco Sacchini,Q21656911,,,,historian,Catholicism,male
,,,,,theologian,,
"Spoelbergh, Guilielmus",,,,,,,
"De Haen, Willem",,,,,,,
"Jansenius, Cornelius",,,,,,,
Viglius Zuichemus,Q639344,Seventeen Provinces,Old University of Leuven,,jurist,,male
,,,University of Dole,,historian,,
,,,,,diplomat,,
,,,,,statesperson,,
"De Haen, Willem",,,,,,,
"Lesperantius, Junius",,,,,,,
"Landrius, Petrus",,,,,,,
"David, Jan",,,,,,,
Theodoor Galle,Q178329,Southern Netherlands,,engraving process,engraver,,male
,,,,,printmaker,,
"David, Jan",,,,,,,
Theodoor Galle,Q178329,Southern Netherlands,,engraving process,engraver,,male
,,,,,printmaker,,
Pierre Halloix,Q59527523,,,,hagiographer,,male
,,,,,patristic scholar,,
"David, Jan",,,,,,,
Theodoor Galle,Q178329,Southern Netherlands,,engraving process,engraver,,male
,,,,,printmaker,,
Leopoldus von Oesterreich,,,,,,,
"Cochelet, Anastasius",,,,,,,
"Lipsius, Justus",,,,,,,
"Bootius, Michael",,,,,,,
"Baius, Jacobus",,,,,,,
"de Cro?, Charles",,,,,,,
"Paludanus, Joannes",,,,,,,
Petrus Peckius the Elder,Q7179220,Netherlands,Old University of Leuven,,jurist,,male
,,,,,university teacher,,
,,,,,professor,,
Joannes Bourgeois,Q115853610,,,,,,male
"de la Croix, Nicolaus",,,,,,,
Karel van Mallery,Q6369402,Netherlands,,,engraver,,male
"de Winghe, Antonius",,,,,,,
Carolus Scribani,Q39072817,,,,philosopher,,male
"de Winghe, Antonius",,,,,,,
Carolus Scribani,Q39072817,,,,philosopher,,male
Carolus Scribani,Q39072817,,,,philosopher,,male
"Borromeo, Federico",,,,,,,
Carolus Scribani,Q39072817,,,,philosopher,,male
"Schondonchus, Aegidius",,,,,,,
Carolus Scribani,Q39072817,,,,philosopher,,male
